DEBUG: Room 0, Exit direction 4, destRoomVnum: 3001
DEBUG: Room 4105, Exit direction 2, destRoomVnum: 4108
DEBUG: Room 4105, Exit direction 3, destRoomVnum: 4106
DEBUG: Room 4106, Exit direction 0, destRoomVnum: 4103
DEBUG: Room 4106, Exit direction 1, destRoomVnum: 4105
DEBUG: Room 4106, Exit direction 2, destRoomVnum: 4109
DEBUG: Room 4107, Exit direction 2, destRoomVnum: 4113
DEBUG: Room 4107, Exit direction 3, destRoomVnum: 4108
DEBUG: Room 4108, Exit direction 0, destRoomVnum: 4105
DEBUG: Room 4108, Exit direction 1, destRoomVnum: 4107
DEBUG: Room 4108, Exit direction 3, destRoomVnum: 4109
DEBUG: Room 4109, Exit direction 0, destRoomVnum: 4106
DEBUG: Room 4109, Exit direction 1, destRoomVnum: 4108
DEBUG: Room 4109, Exit direction 2, destRoomVnum: 4114
DEBUG: Room 4110, Exit direction 3, destRoomVnum: 4111
DEBUG: Room 4110, Exit direction 5, destRoomVnum: -1
DEBUG: Room 4111, Exit direction 1, destRoomVnum: 4110
DEBUG: Room 4111, Exit direction 3, destRoomVnum: 4112
DEBUG: Room 4112, Exit direction 1, destRoomVnum: 4111
DEBUG: Room 4112, Exit direction 3, destRoomVnum: 4113
DEBUG: Room 4113, Exit direction 0, destRoomVnum: 4107
DEBUG: Room 4113, Exit direction 1, destRoomVnum: 4112
DEBUG: Room 4113, Exit direction 2, destRoomVnum: 4116
DEBUG: Room 4114, Exit direction 0, destRoomVnum: 4109
DEBUG: Room 4114, Exit direction 3, destRoomVnum: 4115
DEBUG: Room 4115, Exit direction 1, destRoomVnum: 4114
DEBUG: Room 4115, Exit direction 4, destRoomVnum: 4021
DEBUG: Room 4116, Exit direction 0, destRoomVnum: 4113
DEBUG: Room 4116, Exit direction 2, destRoomVnum: 4120
DEBUG: Room 4117, Exit direction 0, destRoomVnum: 4114
DEBUG: Room 4117, Exit direction 2, destRoomVnum: 4122
DEBUG: Room 4118, Exit direction 0, destRoomVnum: 4111
DEBUG: Room 4118, Exit direction 2, destRoomVnum: 4123
DEBUG: Room 4118, Exit direction 3, destRoomVnum: 4119
DEBUG: Room 4119, Exit direction 1, destRoomVnum: 4118
DEBUG: Room 4119, Exit direction 2, destRoomVnum: 4124
DEBUG: Room 4119, Exit direction 3, destRoomVnum: 4121
DEBUG: Room 4120, Exit direction 0, destRoomVnum: 4116
DEBUG: Room 4120, Exit direction 2, destRoomVnum: 4125
DEBUG: Room 4121, Exit direction 3, destRoomVnum: 4122
DEBUG: Room 4122, Exit direction 0, destRoomVnum: 4117
DEBUG: Room 4123, Exit direction 0, destRoomVnum: 4118
DEBUG: Room 4123, Exit direction 3, destRoomVnum: 4124
DEBUG: Room 4124, Exit direction 0, destRoomVnum: 4119
DEBUG: Room 4124, Exit direction 1, destRoomVnum: 4123
DEBUG: Room 4124, Exit direction 3, destRoomVnum: 4125
DEBUG: Room 4125, Exit direction 0, destRoomVnum: 4120
DEBUG: Room 4125, Exit direction 1, destRoomVnum: 4124
DEBUG: Room 6000, Exit direction 1, destRoomVnum: 3052
DEBUG: Room 6000, Exit direction 3, destRoomVnum: 6001
DEBUG: Room 6001, Exit direction 1, destRoomVnum: 6000
DEBUG: Room 6001, Exit direction 3, destRoomVnum: 6002
DEBUG: Room 6002, Exit direction 1, destRoomVnum: 6001
DEBUG: Room 6002, Exit direction 2, destRoomVnum: 6011
DEBUG: Room 6002, Exit direction 3, destRoomVnum: 6003
DEBUG: Room 6003, Exit direction 1, destRoomVnum: 6002
DEBUG: Room 6003, Exit direction 3, destRoomVnum: 6004
DEBUG: Room 6004, Exit direction 1, destRoomVnum: 6003
DEBUG: Room 6004, Exit direction 2, destRoomVnum: 6005
DEBUG: Room 6004, Exit direction 3, destRoomVnum: 6100
DEBUG: Room 6005, Exit direction 0, destRoomVnum: 6004
DEBUG: Room 6005, Exit direction 2, destRoomVnum: 6006
DEBUG: Room 6006, Exit direction 0, destRoomVnum: 6005
DEBUG: Room 6006, Exit direction 1, destRoomVnum: 6007
DEBUG: Room 6007, Exit direction 1, destRoomVnum: 6008
DEBUG: Room 6007, Exit direction 2, destRoomVnum: 6012
DEBUG: Room 6007, Exit direction 3, destRoomVnum: 6006
DEBUG: Room 6008, Exit direction 0, destRoomVnum: 6011
DEBUG: Room 6008, Exit direction 1, destRoomVnum: 6009
DEBUG: Room 6008, Exit direction 3, destRoomVnum: 6007
DEBUG: Room 6009, Exit direction 0, destRoomVnum: 6010
DEBUG: Room 6009, Exit direction 2, destRoomVnum: 6014
DEBUG: Room 6009, Exit direction 3, destRoomVnum: 6008
DEBUG: Room 6010, Exit direction 2, destRoomVnum: 6009
DEBUG: Room 6011, Exit direction 0, destRoomVnum: 6002
DEBUG: Room 6011, Exit direction 2, destRoomVnum: 6008
DEBUG: Room 6012, Exit direction 0, destRoomVnum: 6007
DEBUG: Room 6012, Exit direction 1, destRoomVnum: 6013
DEBUG: Room 6012, Exit direction 2, destRoomVnum: 6021
DEBUG: Room 6013, Exit direction 1, destRoomVnum: 6014
DEBUG: Room 6013, Exit direction 3, destRoomVnum: 6012
